param_04,param_01,drama_id,command_id,param_02,param_07,param_03,param_06,command_type,param_05,param_08
1,100711,9112,9112009,"푸딩 푸딩~♪\n푸딩이 먹고 싶은 거야~♪",0,10,0,11,1,0.5
"",0,9112,9112010,"","","","",91,"",""
0,vo_wac_220516,9112,9112011,vo_wac_220516_001,"",0,"",21,"",""
1,100711,9112,9112012,"그림만 그리면 네가\n포상으로 푸딩을 주다니\n매우 편한 일인 거야.\n이거라면 얼마든지 해주겠다는 거야♪",0,10,0,11,1,0.5
"",0,9112,9112013,"","","","",91,"",""
"",0,9112,9112014,0,"","","",22,"",""
"",100711,9113,9113001,wac_idle_smile,"",1,0.2,3,"",""
"",111,9113,9113002,wac_no_items,"",1,0.2,3,"",""
0,100711,9113,9113003,200,"",-340,"",2,"",""
0,111,9113,9113004,200,"",-340,"",2,"",""
"",1,9113,9113005,0,"","","",32,"",""
"",2,9113,9113006,1,"","","",32,"",""
"",11,9113,9113007,0,"","","",32,"",""
"",0,9113,9113008,"","","","",91,"",""
-108,1,9211,9211001,104411,0,202,2,1,-213,wac_default_11
-108,1,9211,9211002,111,0,201,2,5,-213,wac_default_13
0,1,9211,9211003,1,"",0,1,31,1,""
0,2,9211,9211004,2,"",0,0,31,1,""
0,11,9211,9211005,11,"",0,0,31,1,""
"",104411,9211,9211006,wac_paint_11,"",0,0.2,3,0,""
"",111,9211,9211007,wac_paint_13,"",0,0.2,3,0,""
"",0.3,9211,9211008,0,"","","",93,"",""
"",11,9211,9211009,1,"","","",32,"",""
"",se_10035700,9211,9211010,se_10035700_roller,"",0,"",23,"",""
"",104411,9211,9211011,300,"","","",13,"",""
"",1,9211,9211012,"","","","",131,"",""
wac_talk_doya_loop,104411,9212,9212001,wac_talk_doya_in,"",0,0.2,3,1,""
"",111,9212,9212002,wac_no_items,"",1,0.2,3,"",""
0,104411,9212,9212003,200,"",-340,"",2,"",""
0,111,9212,9212004,200,"",-340,"",2,"",""
"",1,9212,9212005,0,"","","",32,"",""
"",2,9212,9212006,1,"","","",32,"",""
"",11,9212,9212007,0,"","","",32,"",""
0,vo_wac_220517,9212,9212008,vo_wac_220517_000,"",0,"",21,"",""
1,104411,9212,9212009,"이 몸의 위광을 세상에 드러내는 그림……\n나로서도 홀딱 반할 수준이다만\n아직 더 구상할 수 있을 것 같구나.",0,10,0,11,1,0.5
"",0,9212,9212010,"","","","",91,"",""
0,vo_wac_220517,9212,9212011,vo_wac_220517_001,"",0,"",21,"",""
1,104411,9212,9212012,"그대는 어떻게 생각하지?\n……흠, 색의 사용법, 말이냐.\n과연 나의 권속! 좋은 착안점이로구나!\n당장 다음번에 시험해 봐야겠다!",0,10,0,11,1,0.5
"",0,9212,9212013,"","","","",91,"",""
"",0,9212,9212014,0,"","","",22,"",""
"",104411,9213,9213001,wac_idle_doya,"",1,0.2,3,"",""
"",111,9213,9213002,wac_no_items,"",1,0.2,3,"",""
0,104411,9213,9213003,200,"",-340,"",2,"",""
0,111,9213,9213004,200,"",-340,"",2,"",""
"",1,9213,9213005,0,"","","",32,"",""
"",2,9213,9213006,1,"","","",32,"",""
"",11,9213,9213007,0,"","","",32,"",""
"",0,9213,9213008,"","","","",91,"",""
-108,1,9311,9311001,102811,0,202,2,1,-213,wac_default_01
-108,1,9311,9311002,111,0,201,2,5,-213,wac_default_02
0,1,9311,9311003,1,"",0,1,31,1,""
0,2,9311,9311004,2,"",0,0,31,1,""
0,11,9311,9311005,11,"",0,0,31,1,""
"",102811,9311,9311006,wac_paint_01,"",0,0.2,3,0,""
"",111,9311,9311007,wac_paint_02,"",0,0.2,3,0,""
"",0,9311,9311008,0,"","","",93,"",""
"",11,9311,9311009,1,"","","",32,"",""
"",se_10035700,9311,9311010,se_10035700_brush,"",0,"",23,"",""
"",102811,9311,9311011,300,"","","",13,"",""
"",1,9311,9311012,"","","","",131,"",""
wac_talk_smile_loop,102811,9312,9312001,wac_talk_smile_in,"",0,0.2,3,1,""
"",111,9312,9312002,wac_no_items,"",1,0.2,3,"",""
0,102811,9312,9312003,200,"",-340,"",2,"",""
0,111,9312,9312004,200,"",-340,"",2,"",""
"",1,9312,9312005,0,"","","",32,"",""
"",2,9312,9312006,1,"","","",32,"",""
"",11,9312,9312007,0,"","","",32,"",""
0,vo_wac_220518,9312,9312008,vo_wac_220518_000,"",0,"",21,"",""
1,102811,9312,9312009,"후우, 다 됐다.\n나도 모르게 열중해버렸어.\n아이들이 열심히 그리는 모습에\n영향을 받은 모양이야.",0,10,0,11,1,0.5
"",0,9312,9312010,"","","","",91,"",""
0,vo_wac_220518,9312,9312011,vo_wac_220518_001,"",0,"",21,"",""
1,102811,9312,9312012,"후훗, 이렇게 어른 아이\n할 것 없이, 다 같이 하나의 일을\n해낸다는 것도,\n꽤 기분 좋네.",0,10,0,11,1,0.5
"",0,9312,9312013,"","","","",91,"",""
"",0,9312,9312014,0,"","","",22,"",""
"",102811,9313,9313001,wac_idle_smile,"",1,0.2,3,"",""
"",111,9313,9313002,wac_no_items,"",1,0.2,3,"",""
0,102811,9313,9313003,200,"",-340,"",2,"",""
0,111,9313,9313004,200,"",-340,"",2,"",""
"",1,9313,9313005,0,"","","",32,"",""
"",2,9313,9313006,1,"","","",32,"",""
"",11,9313,9313007,0,"","","",32,"",""
"",0,9313,9313008,"","","","",91,"",""
-108,1,9411,9411001,102511,0,202,2,1,-213,wac_default_11
-108,1,9411,9411002,111,0,201,2,5,-213,wac_default_12
0,1,9411,9411003,1,"",0,1,31,1,""
0,2,9411,9411004,2,"",0,0,31,1,""
0,11,9411,9411005,11,"",0,0,31,1,""
"",102511,9411,9411006,wac_paint_11,"",0,0.2,3,0,""
"",111,9411,9411007,wac_paint_12,"",0,0.2,3,0,""
"",0.3,9411,9411008,0,"","","",93,"",""
"",11,9411,9411009,1,"","","",32,"",""
"",se_10035700,9411,9411010,se_10035700_roller,"",0,"",23,"",""
"",102511,9411,9411011,300,"","","",13,"",""
"",1,9411,9411012,"","","","",131,"",""
wac_talk_smile_loop,102511,9412,9412001,wac_talk_smile_in,"",0,0.2,3,1,""
"",111,9412,9412002,wac_no_items,"",1,0.2,3,"",""
0,102511,9412,9412003,200,"",-340,"",2,"",""
0,111,9412,9412004,200,"",-340,"",2,"",""
"",1,9412,9412005,0,"","","",32,"",""
"",2,9412,9412006,1,"","","",32,"",""
"",11,9412,9412007,0,"","","",32,"",""
0,vo_wac_220519,9412,9412008,vo_wac_220519_000,"",0,"",21,"",""
1,102511,9412,9412009,"해, 해냈어요……!\n오늘은 실수하지 않고\n완성할 수 있었어요!",0,10,0,11,1,0.5
"",0,9412,9412010,"","","","",91,"",""
wac_talk_sad_loop,102511,9412,9412011,wac_talk_sad_in,0,0,0.2,3,1,""
0,vo_wac_220519,9412,9412012,vo_wac_220519_001,"",0,"",21,"",""
1,102511,9412,9412013,"하지만, 실수하지 않는 것에\n너무 신경을 써버렸어요……\n다음에는 실수하지 않고 자유롭게 그리겠어요!\n그릴 수 있으면, 좋겠다……",0,10,0,11,1,0.5
"",0,9412,9412014,"","","","",91,"",""
"",0,9412,9412015,0,"","","",22,"",""
"",102511,9413,9413001,wac_idle_sad,"",1,0.2,3,"",""
"",111,9413,9413002,wac_no_items,"",1,0.2,3,"",""
0,102511,9413,9413003,200,"",-340,"",2,"",""
0,111,9413,9413004,200,"",-340,"",2,"",""
"",1,9413,9413005,0,"","","",32,"",""
"",2,9413,9413006,1,"","","",32,"",""
"",11,9413,9413007,0,"","","",32,"",""
"",0,9413,9413008,"","","","",91,"",""
-108,1,9511,9511001,102111,0,202,2,1,-213,wac_default_01
-108,1,9511,9511002,111,0,201,2,5,-213,wac_default_02
0,1,9511,9511003,1,"",0,1,31,1,""
0,2,9511,9511004,2,"",0,0,31,1,""
0,11,9511,9511005,11,"",0,0,31,1,""
"",102111,9511,9511006,wac_paint_01,"",0,0.2,3,0,""
"",111,9511,9511007,wac_paint_02,"",0,0.2,3,0,""
"",0,9511,9511008,0,"","","",93,"",""
"",11,9511,9511009,1,"","","",32,"",""
"",se_10035700,9511,9511010,se_10035700_brush,"",0,"",23,"",""
"",102111,9511,9511011,300,"","","",13,"",""
"",1,9511,9511012,"","","","",131,"",""
wac_talk_wish_loop,102111,9512,9512001,wac_talk_wish_in,"",0,0.2,3,1,""
"",111,9512,9512002,wac_no_items,"",1,0.2,3,"",""
0,102111,9512,9512003,200,"",-340,"",2,"",""
0,111,9512,9512004,200,"",-340,"",2,"",""
"",1,9512,9512005,0,"","","",32,"",""
"",2,9512,9512006,1,"","","",32,"",""
"",11,9512,9512007,0,"","","",32,"",""
0,vo_wac_220520,9512,9512008,vo_wac_220520_000,"",0,"",21,"",""
1,102111,9512,9512009,"저번보다도, 조금은……\n능숙해진 느낌이 들어……!",0,10,0,11,1,0.5
"",0,9512,9512010,"","","","",91,"",""
0,vo_wac_220520,9512,9512011,vo_wac_220520_001,"",0,"",21,"",""
1,102111,9512,9512012,"계속 연습하는 사이에\n조금씩 요령이 잡히기 시작했을, 지도……?\n후훗, 연극 연습 같아서\n그림 그리는 것도 재밌어……♪",0,10,0,11,1,0.5
"",0,9512,9512013,"","","","",91,"",""
"",0,9512,9512014,0,"","","",22,"",""
"",102111,9513,9513001,wac_idle_wish,"",1,0.2,3,"",""
"",111,9513,9513002,wac_no_items,"",1,0.2,3,"",""
0,102111,9513,9513003,200,"",-340,"",2,"",""
0,111,9513,9513004,200,"",-340,"",2,"",""
"",1,9513,9513005,0,"","","",32,"",""
"",2,9513,9513006,1,"","","",32,"",""
"",11,9513,9513007,0,"","","",32,"",""
"",0,9513,9513008,"","","","",91,"",""
-108,1,9611,9611001,102311,0,202,2,1,-213,wac_default_11
-108,1,9611,9611002,111,0,201,2,5,-213,wac_default_12
0,1,9611,9611003,1,"",0,1,31,1,""
0,2,9611,9611004,2,"",0,0,31,1,""
0,11,9611,9611005,11,"",0,0,31,1,""
"",102311,9611,9611006,wac_paint_11,"",0,0.2,3,0,""
"",111,9611,9611007,wac_paint_12,"",0,0.2,3,0,""
"",0.3,9611,9611008,0,"","","",93,"",""
"",11,9611,9611009,1,"","","",32,"",""
"",se_10035700,9611,9611010,se_10035700_roller,"",0,"",23,"",""
"",102311,9611,9611011,300,"","","",13,"",""
"",1,9611,9611012,"","","","",131,"",""
wac_talk_kyapi_loop,102311,9612,9612001,wac_talk_kyapi_in,"",0,0.2,3,1,""
"",111,9612,9612002,wac_no_items,"",1,0.2,3,"",""
0,102311,9612,9612003,200,"",-340,"",2,"",""
0,111,9612,9612004,200,"",-340,"",2,"",""
"",1,9612,9612005,0,"","","",32,"",""
"",2,9612,9612006,1,"","","",32,"",""
"",11,9612,9612007,0,"","","",32,"",""
0,vo_wac_220521,9612,9612008,vo_wac_220521_000,"",0,"",21,"",""
1,102311,9612,9612009,"다 했다~!\n오늘도 즐겁게 그렸네, 푸우키치!\n하지만, 몇 번이나 하고 있으니 점점\n그리고 싶은 소재가 없어질 것 같아……",0,10,0,11,1,0.5
"",0,9612,9612010,"","","","",91,"",""
0,vo_wac_220521,9612,9612011,vo_wac_220521_001,"",0,"",21,"",""
1,102311,9612,9612012,"그렇지, 이럴 때는 소꿉놀이를\n하면 뭔가 떠오를 것 같아!\n쿠루미랑 리틀 리리컬 모두,\n그리고 오빠를 불러와야지!",0,10,0,11,1,0.5
"",0,9612,9612013,"","","","",91,"",""
"",0,9612,9612014,0,"","","",22,"",""
"",102311,9613,9613001,wac_idle_kyapi,"",1,0.2,3,"",""
"",111,9613,9613002,wac_no_items,"",1,0.2,3,"",""
0,102311,9613,9613003,200,"",-340,"",2,"",""
0,111,9613,9613004,200,"",-340,"",2,"",""
"",1,9613,9613005,0,"","","",32,"",""
"",2,9613,9613006,1,"","","",32,"",""
"",11,9613,9613007,0,"","","",32,"",""
"",0,9613,9613008,"","","","",91,"",""
-108,1,9711,9711001,106411,0,202,2,1,-213,wac_default_01
-108,1,9711,9711002,111,0,201,2,5,-213,wac_default_02
0,1,9711,9711003,1,"",0,1,31,1,""
0,2,9711,9711004,2,"",0,0,31,1,""
0,11,9711,9711005,11,"",0,0,31,1,""
"",106411,9711,9711006,wac_paint_01,"",0,0.2,3,0,""
"",111,9711,9711007,wac_paint_02,"",0,0.2,3,0,""
"",0,9711,9711008,0,"","","",93,"",""
"",11,9711,9711009,1,"","","",32,"",""
"",se_10035700,9711,9711010,se_10035700_brush,"",0,"",23,"",""
"",106411,9711,9711011,300,"","","",13,"",""
"",1,9711,9711012,"","","","",131,"",""
wac_talk_smile_loop,106411,9712,9712001,wac_talk_smile_in,"",0,0.2,3,1,""
"",111,9712,9712002,wac_no_items,"",1,0.2,3,"",""
0,106411,9712,9712003,200,"",-340,"",2,"",""
0,111,9712,9712004,200,"",-340,"",2,"",""
"",1,9712,9712005,0,"","","",32,"",""
"",2,9712,9712006,1,"","","",32,"",""
"",11,9712,9712007,0,"","","",32,"",""
0,vo_wac_220522,9712,9712008,vo_wac_220522_000,"",0,"",21,"",""
1,106411,9712,9712009,"좋았어, 완성이네.\n틀림없이 이전보다 나아졌을\n거야♪",0,10,0,11,1,0.5
"",0,9712,9712010,"","","","",91,"",""
0,vo_wac_220522,9712,9712011,vo_wac_220522_001,"",0,"",21,"",""
1,106411,9712,9712012,"누군가에게 보여주고 확인하고 싶다.\n【미식전】 모두에게 이야기해서……\n느긋하게 식탁에 둘러앉아서……\n후후, 정말 근사하네.",0,10,0,11,1,0.5
"",0,9712,9712013,"","","","",91,"",""
"",0,9712,9712014,0,"","","",22,"",""
"",106411,9713,9713001,wac_idle_smile,"",1,0.2,3,"",""
"",111,9713,9713002,wac_no_items,"",1,0.2,3,"",""
0,106411,9713,9713003,200,"",-340,"",2,"",""
0,111,9713,9713004,200,"",-340,"",2,"",""
"",1,9713,9713005,0,"","","",32,"",""
"",2,9713,9713006,1,"","","",32,"",""
"",11,9713,9713007,0,"","","",32,"",""
"",0,9713,9713008,"","","","",91,"",""
-108,1,9811,9811001,106011,0,202,2,1,-213,wac_default_01
-108,1,9811,9811002,111,0,201,2,5,-213,wac_default_02
0,1,9811,9811003,1,"",0,1,31,1,""
0,2,9811,9811004,2,"",0,0,31,1,""
0,11,9811,9811005,11,"",0,0,31,1,""
"",106011,9811,9811006,wac_paint_01,"",0,0.2,3,0,""
"",111,9811,9811007,wac_paint_02,"",0,0.2,3,0,""
"",0,9811,9811008,0,"","","",93,"",""
"",11,9811,9811009,1,"","","",32,"",""
"",se_10035700,9811,9811010,se_10035700_brush,"",0,"",23,"",""
"",106011,9811,9811011,300,"","","",13,"",""
"",1,9811,9811012,"","","","",131,"",""
wac_talk_wish_loop,106011,9812,9812001,wac_talk_wish_in,"",0,0.2,3,1,""
"",111,9812,9812002,wac_no_items,"",1,0.2,3,"",""
0,106011,9812,9812003,200,"",-340,"",2,"",""
0,111,9812,9812004,200,"",-340,"",2,"",""
"",1,9812,9812005,0,"","","",32,"",""
"",2,9812,9812006,1,"","","",32,"",""
"",11,9812,9812007,0,"","","",32,"",""
0,vo_wac_220523,9812,9812008,vo_wac_220523_000,"",0,"",21,"",""
1,106011,9812,9812009,"응, 오늘도 훌륭하네♪\n좋은 느낌으로 그려지면\n누군가에게 보여주고 싶어져~",0,10,0,11,1,0.5
"",0,9812,9812010,"","","","",91,"",""
0,vo_wac_220523,9812,9812011,vo_wac_220523_001,"",0,"",21,"",""
1,106011,9812,9812012,"어라, 너.\n마침 좋은 곳에 있네.\n어때? 꽤 잘\n그려졌지! 후후~웅♪",0,10,0,11,1,0.5
"",0,9812,9812013,"","","","",91,"",""
"",0,9812,9812014,0,"","","",22,"",""
"",106011,9813,9813001,wac_idle_wish,"",1,0.2,3,"",""
"",111,9813,9813002,wac_no_items,"",1,0.2,3,"",""
0,106011,9813,9813003,200,"",-340,"",2,"",""
0,111,9813,9813004,200,"",-340,"",2,"",""
"",1,9813,9813005,0,"","","",32,"",""
"",2,9813,9813006,1,"","","",32,"",""
"",11,9813,9813007,0,"","","",32,"",""
"",0,9813,9813008,"","","","",91,"",""
-108,1,9911,9911001,105911,0,202,2,1,-100,wac_default_21
-108,1,9911,9911002,111,0,201,2,5,-100,wac_default_25
0,19,9911,9911003,19,"",0,1,31,1,""
0,2,9911,9911004,2,"",0,0,31,1,""
0,20,9911,9911005,20,"",0,0,31,1,""
"",105911,9911,9911006,wac_paint_21,"",0,0.2,3,0,""
"",111,9911,9911007,wac_paint_25,"",0,0.2,3,0,""
"",0,9911,9911008,0,"","","",93,"",""
"",20,9911,9911009,1,"","","",32,"",""
"",se_common,9911,9911010,se_sys_login_birthday_calendar_brush,"",0,"",23,"",""
"",105911,9911,9911011,300,"","","",13,"",""
"",1,9911,9911012,"","","","",131,"",""
wac_talk_wish_loop,105911,9912,9912001,wac_talk_wish_in,"",0,0.2,3,1,""
"",111,9912,9912002,wac_no_items,"",1,0.2,3,"",""
0,105911,9912,9912003,200,"",-340,"",2,"",""
0,111,9912,9912004,200,"",-340,"",2,"",""
"",19,9912,9912005,0,"","","",32,"",""
"",2,9912,9912006,1,"","","",32,"",""
"",20,9912,9912007,0,"","","",32,"",""
0,vo_wac_220524,9912,9912008,vo_wac_220524_000,"",0,"",21,"",""
1,105911,9912,9912009,"흠, 오늘도 정성껏\n그렸습니다.\n바람도 빛도 기분 좋고……\n그림 그리기 딱 좋은 날입니다.",0,10,0,11,1,0.5
"",0,9912,9912010,"","","","",91,"",""
0,vo_wac_220524,9912,9912011,vo_wac_220524_001,"",0,"",21,"",""
1,105911,9912,9912012,"주인님. 이후에,\n햇볕을 쬐러 가는 것은 어떠신가요?\n분명 최고로 행복한 낮잠을\n잘 수 있을 겁니다……♪",0,10,0,11,1,0.5
"",0,9912,9912013,"","","","",91,"",""
"",0,9912,9912014,0,"","","",22,"",""
"",105911,9913,9913001,wac_idle_wish,"",1,0.2,3,"",""
"",111,9913,9913002,wac_no_items,"",1,0.2,3,"",""
0,105911,9913,9913003,200,"",-340,"",2,"",""
0,111,9913,9913004,200,"",-340,"",2,"",""
"",19,9913,9913005,0,"","","",32,"",""
"",2,9913,9913006,1,"","","",32,"",""
"",20,9913,9913007,0,"","","",32,"",""
"",0,9913,9913008,"","","","",91,"",""
-108,1,10011,10011001,105811,0,202,2,1,-100,wac_default_21
-108,1,10011,10011002,111,0,201,2,5,-100,wac_default_24
0,19,10011,10011003,19,"",0,1,31,1,""
0,2,10011,10011004,2,"",0,0,31,1,""
0,20,10011,10011005,20,"",0,0,31,1,""
"",105811,10011,10011006,wac_paint_21,"",0,0.2,3,0,""
"",111,10011,10011007,wac_paint_24,"",0,0.2,3,0,""
"",0,10011,10011008,0,"","","",93,"",""
"",20,10011,10011009,1,"","","",32,"",""
"",se_common,10011,10011010,se_sys_login_birthday_calendar_brush,"",0,"",23,"",""
"",105811,10011,10011011,300,"","","",13,"",""
"",1,10011,10011012,"","","","",131,"",""
wac_talk_smile_loop,105811,10012,10012001,wac_talk_smile_in,"",0,0.2,3,1,""
"",111,10012,10012002,wac_no_items,"",1,0.2,3,"",""
0,105811,10012,10012003,200,"",-340,"",2,"",""
0,111,10012,10012004,200,"",-340,"",2,"",""
"",19,10012,10012005,0,"","","",32,"",""
"",2,10012,10012006,1,"","","",32,"",""
"",20,10012,10012007,0,"","","",32,"",""
0,vo_wac_220525,10012,10012008,vo_wac_220525_000,"",0,"",21,"",""
1,105811,10012,10012009,"완성했어요!\n이 그림으로, 다른 사람을 따뜻한 기분으로\n만들 수 있으면 좋겠는데……",0,10,0,11,1,0.5
"",0,10012,10012010,"","","","",91,"",""
0,vo_wac_220525,10012,10012011,vo_wac_220525_001,"",0,"",21,"",""
1,105811,10012,10012012,"앗, 당신♪ 와 있었군요!\n어떤가요, 제 그림!\n……보고 있으면 미소가 지어진다, 라고요?\n엣헤헤~ 고맙습니다♪",0,10,0,11,1,0.5
"",0,10012,10012013,"","","","",91,"",""
"",0,10012,10012014,0,"","","",22,"",""
"",105811,10013,10013001,wac_idle_smile,"",1,0.2,3,"",""
"",111,10013,10013002,wac_no_items,"",1,0.2,3,"",""
0,105811,10013,10013003,200,"",-340,"",2,"",""
0,111,10013,10013004,200,"",-340,"",2,"",""
"",19,10013,10013005,0,"","","",32,"",""
"",2,10013,10013006,1,"","","",32,"",""
"",20,10013,10013007,0,"","","",32,"",""
"",0,10013,10013008,"","","","",91,"",""
-108,1,10111,10111001,104411,0,202,2,1,-100,wac_default_21
-108,1,10111,10111002,111,0,201,2,5,-100,wac_default_25
0,19,10111,10111003,19,"",0,1,31,1,""
0,2,10111,10111004,2,"",0,0,31,1,""
0,20,10111,10111005,20,"",0,0,31,1,""
"",104411,10111,10111006,wac_paint_21,"",0,0.2,3,0,""
"",111,10111,10111007,wac_paint_25,"",0,0.2,3,0,""
"",0,10111,10111008,0,"","","",93,"",""
"",20,10111,10111009,1,"","","",32,"",""
"",se_common,10111,10111010,se_sys_login_birthday_calendar_brush,"",0,"",23,"",""
"",104411,10111,10111011,300,"","","",13,"",""
"",1,10111,10111012,"","","","",131,"",""
wac_talk_wish_loop,104411,10112,10112001,wac_talk_wish_in,"",0,0.2,3,1,""
"",111,10112,10112002,wac_no_items,"",1,0.2,3,"",""
0,104411,10112,10112003,200,"",-340,"",2,"",""
0,111,10112,10112004,200,"",-340,"",2,"",""
"",19,10112,10112005,0,"","","",32,"",""
"",2,10112,10112006,1,"","","",32,"",""
"",20,10112,10112007,0,"","","",32,"",""
0,vo_wac_220526,10112,10112008,vo_wac_220526_000,"",0,"",21,"",""
1,104411,10112,10112009,"크크크……!\n훌륭한 솜씨구나! 나의 위광을\n마을에 널리 퍼지게 할 수 있겠구나!",0,10,0,11,1,0.5
"",0,10112,10112010,"","","","",91,"",""
0,vo_wac_220526,10112,10112011,vo_wac_220526_001,"",0,"",21,"",""
1,104411,10112,10112012,"점점, 이 벽뿐 아니라,\n온 세상을 이 몸의 그림으로\n가득 메우고 싶어졌다!\n그림도 상당히 재미있는 것이로구나♪",0,10,0,11,1,0.5
"",0,10112,10112013,"","","","",91,"",""
"",0,10112,10112014,0,"","","",22,"",""
"",104411,10113,10113001,wac_idle_wish,"",1,0.2,3,"",""
"",111,10113,10113002,wac_no_items,"",1,0.2,3,"",""
0,104411,10113,10113003,200,"",-340,"",2,"",""
0,111,10113,10113004,200,"",-340,"",2,"",""
"",19,10113,10113005,0,"","","",32,"",""
"",2,10113,10113006,1,"","","",32,"",""
"",20,10113,10113007,0,"","","",32,"",""
"",0,10113,10113008,"","","","",91,"",""
-108,1,10211,10211001,103111,0,202,2,1,-213,wac_default_01
-108,1,10211,10211002,111,0,201,2,5,-213,wac_default_02
0,1,10211,10211003,1,"",0,1,31,1,""
0,2,10211,10211004,2,"",0,0,31,1,""
0,11,10211,10211005,11,"",0,0,31,1,""
"",103111,10211,10211006,wac_paint_01,"",0,0.2,3,0,""
"",111,10211,10211007,wac_paint_02,"",0,0.2,3,0,""
"",0,10211,10211008,0,"","","",93,"",""
"",11,10211,10211009,1,"","","",32,"",""
"",se_10035700,10211,10211010,se_10035700_brush,"",0,"",23,"",""
"",103111,10211,10211011,300,"","","",13,"",""
"",1,10211,10211012,"","","","",131,"",""
wac_talk_wish_loop,103111,10212,10212001,wac_talk_wish_in,"",0,0.2,3,1,""
"",111,10212,10212002,wac_no_items,"",1,0.2,3,"",""
0,103111,10212,10212003,200,"",-340,"",2,"",""
0,111,10212,10212004,200,"",-340,"",2,"",""
"",1,10212,10212005,0,"","","",32,"",""
"",2,10212,10212006,1,"","","",32,"",""
"",11,10212,10212007,0,"","","",32,"",""
0,vo_wac_220527,10212,10212008,vo_wac_220527_000,"",0,"",21,"",""
1,103111,10212,10212009,"멋진 그림을 그렸어요……\n그 사람을 생각하면서 그린 것이\n좋았던 걸까……?",0,10,0,11,1,0.5
"",0,10212,10212010,"","","","",91,"",""
0,vo_wac_220527,10212,10212011,vo_wac_220527_001,"",0,"",21,"",""
1,103111,10212,10212012,"하지만, 어쩐지 두근두근해……\n이건…… 무슨 영혼의 영향……?",0,10,0,11,1,0.5
"",0,10212,10212013,"","","","",91,"",""
"",0,10212,10212014,0,"","","",22,"",""
"",103111,10213,10213001,wac_idle_wish,"",1,0.2,3,"",""
"",111,10213,10213002,wac_no_items,"",1,0.2,3,"",""
0,103111,10213,10213003,200,"",-340,"",2,"",""
0,111,10213,10213004,200,"",-340,"",2,"",""
"",1,10213,10213005,0,"","","",32,"",""
"",2,10213,10213006,1,"","","",32,"",""
"",11,10213,10213007,0,"","","",32,"",""
"",0,10213,10213008,"","","","",91,"",""
-108,1,10311,10311001,100711,0,202,2,1,-213,wac_default_01
-108,1,10311,10311002,111,0,201,2,5,-213,wac_default_02
0,1,10311,10311003,1,"",0,1,31,1,""
0,2,10311,10311004,2,"",0,0,31,1,""
0,11,10311,10311005,11,"",0,0,31,1,""
"",100711,10311,10311006,wac_paint_01,"",0,0.2,3,0,""
"",111,10311,10311007,wac_paint_02,"",0,0.2,3,0,""
"",0,10311,10311008,0,"","","",93,"",""
"",11,10311,10311009,1,"","","",32,"",""
"",se_10035700,10311,10311010,se_10035700_brush,"",0,"",23,"",""
"",100711,10311,10311011,300,"","","",13,"",""
"",1,10311,10311012,"","","","",131,"",""
wac_talk_smile_loop,100711,10312,10312001,wac_talk_smile_in,"",0,0.2,3,1,""
"",111,10312,10312002,wac_no_items,"",1,0.2,3,"",""
0,100711,10312,10312003,200,"",-340,"",2,"",""
0,111,10312,10312004,200,"",-340,"",2,"",""
"",1,10312,10312005,0,"","","",32,"",""
"",2,10312,10312006,1,"","","",32,"",""
"",11,10312,10312007,0,"","","",32,"",""
0,vo_wac_220528,10312,10312008,vo_wac_220528_000,"",0,"",21,"",""
1,100711,10312,10312009,"다 그린 거야!\n푸딩 푸딩~♪\n오늘도 이후에 그 녀석에게\n푸딩을 받는 거야~!",0,10,0,11,1,0.5
"",0,10312,10312010,"","","","",91,"",""
0,vo_wac_220528,10312,10312011,vo_wac_220528_001,"",0,"",21,"",""
1,100711,10312,10312012,"아! 너, 기다린 거야♪\n빨랑빨랑 푸딩을 내놓는 거야!\n오늘은 기분이 좋으니까 한 입만\n나눠주겠다는 거야. 기뻐하라는 거야♪",0,10,0,11,1,0.5
"",0,10312,10312013,"","","","",91,"",""
"",0,10312,10312014,0,"","","",22,"",""
"",100711,10313,10313001,wac_idle_smile,"",1,0.2,3,"",""
"",111,10313,10313002,wac_no_items,"",1,0.2,3,"",""
0,100711,10313,10313003,200,"",-340,"",2,"",""
0,111,10313,10313004,200,"",-340,"",2,"",""
"",1,10313,10313005,0,"","","",32,"",""
"",2,10313,10313006,1,"","","",32,"",""
"",11,10313,10313007,0,"","","",32,"",""
"",0,10313,10313008,"","","","",91,"",""
-108,1,10411,10411001,102811,0,202,2,1,-100,wac_default_21
-108,1,10411,10411002,111,0,201,2,5,-100,wac_default_25
0,19,10411,10411003,19,"",0,1,31,1,""
0,2,10411,10411004,2,"",0,0,31,1,""
0,20,10411,10411005,20,"",0,0,31,1,""
"",102811,10411,10411006,wac_paint_21,"",0,0.2,3,0,""
"",111,10411,10411007,wac_paint_25,"",0,0.2,3,0,""
"",0,10411,10411008,0,"","","",93,"",""
"",20,10411,10411009,1,"","","",32,"",""
"",se_common,10411,10411010,se_sys_login_birthday_calendar_brush,"",0,"",23,"",""
"",102811,10411,10411011,300,"","","",13,"",""
"",1,10411,10411012,"","","","",131,"",""
wac_talk_wish_loop,102811,10412,10412001,wac_talk_wish_in,"",0,0.2,3,1,""
"",111,10412,10412002,wac_no_items,"",1,0.2,3,"",""
0,102811,10412,10412003,200,"",-340,"",2,"",""
0,111,10412,10412004,200,"",-340,"",2,"",""
"",19,10412,10412005,0,"","","",32,"",""
"",2,10412,10412006,1,"","","",32,"",""
