param_05,drama_id,param_04,param_01,param_06,command_id,command_type,param_07,param_02,param_03,param_08
"",34,"",113411,0.2,1340010,3,"",pkb_talk_normal,1,""
"",34,0,vo_minigame_1006,"",1340011,21,"",vo_minigame_1006_top_talk_13_202,0,""
0,34,0,113411,0,1340012,11,0,"초능……\n이 아니라!\n특별한 마법을\n사용해~ 에헤헤",8,1
"",34,"",1.2,"",1340013,93,"","","",""
1,34,pkb_talk_surprise1,113411,0.2,1340014,3,0.2,pkb_surprise,0,""
"",34,"",1,"",1340015,93,"","","",""
"",34,"",113411,0.2,1340016,3,"",pkb_talk_joy3,1,""
"",34,"",1340012,"",1340017,91,"","","",""
"",34,"",113411,0.2,1340018,3,"",pkb_idle_normal,1,""
-150,35,-20,1,1.6,1350001,1,0,113511,100,pkb_idle_normal
-150,35,170,1,1.6,1350002,1,1,102311,100,pkb_idle_normal
"",35,"",113511,0.2,1350003,3,"",pkb_talk_joy3,1,""
"",35,0,vo_minigame_1006,"",1350004,21,"",vo_minigame_1006_top_talk_14_101,0,""
0,35,0,113511,0,1350005,11,0,"아야네\n오늘도 타격 코치를\n부탁할게~\n의지하고 있어~!",6,0.5
"",35,"",5.2,"",1350006,93,"","","",""
"",35,"",113511,0.2,1350007,3,"",pkb_talk_wish,1,""
"",35,"",1350005,"",1350008,91,"","","",""
"",35,"",113511,0.2,1350009,3,"",pkb_idle_normal,1,""
"",35,"",102311,0.2,1350010,3,"",pkb_talk_joy1,1,""
"",35,0,vo_minigame_1006,"",1350011,21,"",vo_minigame_1006_top_talk_14_402,0,""
0,35,0,102311,0,1350012,11,0,"오빠랑 언니가\n잔뜩 홈런을\n날릴 수 있도록\n노력할게!",8,-1
"",35,"",3.2,"",1350013,93,"","","",""
1,35,pkb_idle_doya,102311,0.2,1350014,3,"",pkb_talk_doya,0,""
"",35,"",1350012,"",1350015,91,"","","",""
"",35,"",102311,0.2,1350016,3,"",pkb_idle_normal,1,""
-130,36,170,3,55,1360001,5,1,3,100,pkb_idle_normal_l
-130,36,-20,1,55,1360002,5,0,1,100,pkb_idle_normal
1,36,pkb_idle_arm_crossed_l,3,0.2,1360003,3,0.2,pkb_talk_arm_crossed_l,0,""
"",36,0,vo_minigame_1006,"",1360004,21,"",vo_minigame_1006_top_talk_15_601,0,""
0,36,0,3,0,1360005,11,0,"이봐, 아사히!\n얼마나 실력이 늘었는지\n보여줘!",8,-0.5
"",36,"",1360005,"",1360006,91,"","","",""
"",36,"",3,0.2,1360007,3,"",pkb_idle_normal_l,1,""
1,36,pkb_idle_guts,1,0.2,1360008,3,"",pkb_talk_guts,0,""
"",36,0,vo_minigame_1006,"",1360009,21,"",vo_minigame_1006_top_talk_15_702,0,""
0,36,0,1,0,1360010,11,0,"그래! 다이치야말로\n봐주지 말아 줘\n진검 승부다!",8,0
"",36,"",1360010,"",1360011,91,"","","",""
"",36,"",1,0.2,1360012,3,"",pkb_idle_normal,1,""
-130,37,-20,1,55,1370001,5,0,1,100,pkb_idle_normal
-130,37,170,3,55,1370002,5,1,3,100,pkb_idle_normal_l
1,37,pkb_idle_guts,1,0.2,1370003,3,"",pkb_talk_guts,0,""
"",37,0,vo_minigame_1006,"",1370004,21,"",vo_minigame_1006_top_talk_16_701,0,""
0,37,0,1,0,1370005,11,0,"전국 대회에 반드시 가자\n우리의 꿈을\n이루는 거야!",8,-0.5
"",37,"",3.2,"",1370006,93,"","","",""
1,37,pkb_idle_normal,1,0.2,1370007,3,0.2,pkb_talk_handsup,0,""
"",37,"",1370005,"",1370008,91,"","","",""
"",37,"",1,0.2,1370009,3,"",pkb_idle_normal,1,""
1,37,pkb_idle_arm_crossed_l,3,0.2,1370010,3,0.2,pkb_talk_arm_crossed_l,0,""
"",37,0,vo_minigame_1006,"",1370011,21,"",vo_minigame_1006_top_talk_16_602,0,""
0,37,0,3,0,1370012,11,0,"흥, 당연하지\n우리라면\n전국 대회 우승도\n꿈이 아니라고!",8,1
"",37,"",4.8,"",1370013,93,"","","",""
1,37,pkb_idle_guts_l,3,0.2,1370014,3,"",pkb_talk_guts_l,0,""
"",37,"",1370012,"",1370015,91,"","","",""
"",37,"",3,0.2,1370016,3,"",pkb_idle_normal_l,1,""
-150,38,170,1,1.6,1380001,1,1,106531,100,pkb_idle_normal
-130,38,-20,2,55,1380002,5,0,2,100,pkb_idle_normal
1,38,pkb_idle_arm_crossed,106531,0.2,1380003,3,0.2,pkb_talk_arm_crossed,0,""
"",38,0,vo_minigame_1006,"",1380004,21,"",vo_minigame_1006_top_talk_17_301,0,""
0,38,0,106531,0,1380005,11,0,"이제 제법 \n하잖아\n이제부터는 이 몸도\n진심으로 하겠어!!",8,-0.5
"",38,"",3.6,"",1380006,93,"","","",""
1,38,pkb_idle_doya,106531,0.2,1380007,3,"",pkb_talk_doya,0,""
"",38,"",2,"",1380008,93,"","","",""
1,38,pkb_idle_normal,106531,0.2,1380009,3,0.2,pkb_talk_handsup,0,""
"",38,"",1380005,"",1380010,91,"","","",""
"",38,"",1,"",1380011,93,"","","",""
"",38,"",106531,0.2,1380012,3,"",pkb_idle_normal,1,""
1,38,pkb_idle_shock,2,0.2,1380013,3,"",pkb_shock,0,""
"",38,0,vo_minigame_1006,"",1380014,21,"",vo_minigame_1006_top_talk_17_802,0,""
0,38,0,2,0,1380015,11,0,"진짜냐……\n아직 진심이\n아니었던 거냐고\n…몇 사람 죽어나겠군",7,1
"",38,"",1380015,"",1380016,91,"","","",""
"",38,"",2,0.2,1380017,3,"",pkb_idle_normal,1,""
