id,effect_name,icon_name,description,quest_id
173,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408310
174,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408310
175,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92408310
176,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92408310
177,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92408310
178,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408310
179,"물 속성 보너스 (특대) 증가",13,"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408320
180,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408320
181,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408320
182,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92408320
183,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92408320
184,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92408320
185,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408320
186,"물 속성 보너스 (특대) 증가",13,"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408330
187,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408330
188,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408330
189,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92408330
190,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92408330
191,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92408330
192,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408330
193,"물 속성 보너스 (특대) 증가",13,"물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다.",92408340
194,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92408340
195,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92408340
196,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92408340
197,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92408340
198,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92408340
199,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92408340
200,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409010
201,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409010
202,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409010
203,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409010
204,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409010
205,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409020
206,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409020
207,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409020
208,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409020
209,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409020
210,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409030
211,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409030
212,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409030
213,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409030
214,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409030
215,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409110
216,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409110
217,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409110
218,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92409110
219,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409110
220,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409110
221,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409110
222,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409120
223,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409120
224,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409120
225,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92409120
226,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409120
227,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409120
228,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409120
229,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409130
230,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409130
231,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409130
232,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92409130
233,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409130
234,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409130
235,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409130
236,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409140
237,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409140
238,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409140
239,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92409140
240,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409140
241,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409140
242,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409140
243,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409210
244,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409210
245,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409210
246,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92409210
247,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409210
248,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409210
249,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409210
250,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409220
251,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409220
252,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409220
253,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92409220
254,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409220
255,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409220
256,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409220
257,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409230
258,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409230
259,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409230
260,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92409230
261,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409230
262,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409230
263,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409230
264,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409240
265,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409240
266,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409240
267,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92409240
268,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409240
269,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409240
270,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409240
271,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409310
272,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409310
273,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409310
274,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409310
275,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409310
276,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409310
277,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409320
278,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409320
279,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409320
280,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409320
281,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409320
282,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409320
283,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409330
284,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409330
285,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409330
286,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409330
287,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409330
288,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409330
289,"어둠 속성 보너스 (특대) 증가",16,"어둠 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 어둠 속성 이외의 속성 보너스는 무효화된다.",92409340
290,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92409340
291,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92409340
292,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92409340
293,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92409340
294,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92409340
295,"빛 속성 보너스(특대) 증가",15,"빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다.",92410010
296,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92410010
297,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92410010
298,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92410010
299,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92410010
300,"빛 속성 보너스(특대) 증가",15,"빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다.",92410020
301,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92410020
302,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92410020
303,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92410020
304,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92410020
305,"빛 속성 보너스(특대) 증가",15,"빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다.",92410030
306,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92410030
307,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92410030
308,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92410030
309,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92410030
310,"빛 속성 보너스(특대) 증가",15,"빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다.",92410110
311,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92410110
312,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92410110
313,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92410110
314,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92410110
315,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92410110
316,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92410110
317,"빛 속성 보너스(특대) 증가",15,"빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다.",92410120
318,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92410120
319,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92410120
320,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92410120
321,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92410120
322,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92410120
323,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92410120
324,"빛 속성 보너스(특대) 증가",15,"빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다.",92410130
325,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92410130
326,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92410130
327,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92410130
328,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92410130
329,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92410130
330,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92410130
331,"빛 속성 보너스(특대) 증가",15,"빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다.",92410140
332,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92410140
333,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92410140
334,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92410140
335,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92410140
336,"TP 상승 최대치 부여",17,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다.",92410140
337,"HP 흡수 감소",9,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다.",92410140
338,"빛 속성 보너스(특대) 증가",15,"빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다.",92410210
339,"물리 방어력(감소 불가) 증가",boss_def_lower_limit,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다.",92410210
340,"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다.",92410210
341,"TP 감소 컷",boss_tp_down_cut,"전투 시작 시 모든 몬스터의  TP 감소 100％ 컷 상태가 된다.",92410210
342,"데미지 감쇠",18,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.",92410210
